name,planning_area,land_use_type,centroid_lon,centroid_lat,distance_m
kml_87240,Unknown,RESIDENTIAL,103.888608,1.298198,276.262040
kml_87241,Unknown,RESIDENTIAL,103.888588,1.298126,270.971387
kml_87242,Unknown,RESIDENTIAL,103.888553,1.297940,259.762013
kml_87243,Unknown,RESIDENTIAL,103.888535,1.297804,253.268902
kml_87248,Unknown,RESIDENTIAL,103.742168,1.335725,1278.319094
kml_87249,Unknown,RESIDENTIAL,103.885322,1.308560,385.266566
kml_87250,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.884996,1.307840,299.564044
kml_87251,Unknown,RESIDENTIAL,103.834144,1.431937,655.095173
kml_87260,Unknown,RESIDENTIAL,103.912267,1.402007,1298.313184
kml_87261,Unknown,RESIDENTIAL,103.900749,1.393004,365.002186
kml_87262,Unknown,RESIDENTIAL,103.901082,1.391652,295.079516
kml_87263,Unknown,RESIDENTIAL,103.895489,1.304581,530.671587
kml_87264,Unknown,RESIDENTIAL,103.895508,1.304734,545.661429
kml_87265,Unknown,RESIDENTIAL,103.895188,1.304707,557.078494
kml_87266,Unknown,RESIDENTIAL,103.895181,1.304544,541.116137
kml_87267,Unknown,RESIDENTIAL,103.895241,1.304091,493.201617
kml_87269,Unknown,RESIDENTIAL,103.860097,1.328757,265.154481
kml_87270,Unknown,RESIDENTIAL,103.895480,1.302771,353.941962
kml_87271,Unknown,RESIDENTIAL,103.895584,1.302554,327.633627
kml_87272,Unknown,RESIDENTIAL,103.895407,1.302536,338.036659
kml_87273,Unknown,RESIDENTIAL,103.895502,1.302542,332.055922
kml_87274,Unknown,RESIDENTIAL,103.895677,1.302553,321.559210
kml_87275,Unknown,RESIDENTIAL,103.895063,1.302237,340.115303
kml_87276,Unknown,RESIDENTIAL,103.895217,1.302376,338.676894
kml_87277,Unknown,RESIDENTIAL,103.797008,1.301746,789.948811
kml_87278,Unknown,RESIDENTIAL,103.797814,1.300963,906.079945
kml_87279,Unknown,RESIDENTIAL,103.798169,1.297696,1134.751575
kml_87284,Unknown,COMMERCIAL & RESIDENTIAL,103.852349,1.320521,604.413749
kml_87285,Unknown,RESIDENTIAL,103.851259,1.321622,656.880133
kml_87287,Unknown,RESIDENTIAL,103.887724,1.302697,124.840746
kml_87288,Unknown,RESIDENTIAL,103.888004,1.302565,127.345801
kml_87289,Unknown,RESIDENTIAL,103.887438,1.302616,108.138179
kml_87290,Unknown,RESIDENTIAL,103.869532,1.313302,625.809520
kml_87295,Unknown,RESIDENTIAL,103.900918,1.393042,349.974051
kml_87296,Unknown,RESIDENTIAL,103.905643,1.390337,256.723438
kml_87298,Unknown,RESIDENTIAL,103.903519,1.391809,30.624462
kml_87300,Unknown,RESIDENTIAL,103.901089,1.391535,294.500473
kml_87301,Unknown,RESIDENTIAL,103.903241,1.391599,55.194860
kml_87302,Unknown,RESIDENTIAL,103.903006,1.391731,81.811210
kml_87304,Unknown,RESIDENTIAL,103.903306,1.391614,47.847562
kml_87305,Unknown,RESIDENTIAL,103.903357,1.392135,69.349965
kml_87306,Unknown,RESIDENTIAL,103.903711,1.391293,38.692373
kml_87307,Unknown,RESIDENTIAL,103.901161,1.391499,286.728854
kml_87308,Unknown,RESIDENTIAL,103.902992,1.391395,87.060688
kml_87310,Unknown,RESIDENTIAL,103.903231,1.391295,68.020465
kml_87311,Unknown,RESIDENTIAL,103.903297,1.391134,74.512675
kml_87313,Unknown,RESIDENTIAL,103.906597,1.405880,602.490801
kml_87315,Unknown,RESIDENTIAL,103.908713,1.404672,826.097148
kml_87339,Unknown,RESIDENTIAL,103.853752,1.324173,959.814415
kml_87340,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853691,1.324979,890.586991
kml_87341,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853651,1.324946,889.983232
kml_87342,Unknown,RESIDENTIAL,103.853568,1.324678,904.788027
kml_87343,Unknown,RESIDENTIAL,103.853762,1.324278,951.945269
kml_87344,Unknown,RESIDENTIAL,103.853509,1.324476,916.731809
kml_87345,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853730,1.325037,889.247508
kml_87346,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853545,1.324877,887.045249
kml_87348,Unknown,COMMERCIAL & RESIDENTIAL,103.899008,1.316132,355.295180
kml_87349,Unknown,COMMERCIAL & RESIDENTIAL,103.898932,1.316183,365.444697
kml_87350,Unknown,COMMERCIAL & RESIDENTIAL,103.899011,1.316899,407.414484
kml_87353,Unknown,RESIDENTIAL,103.880701,1.397009,485.620029
kml_87354,Unknown,RESIDENTIAL,103.878142,1.397534,362.734081
kml_87355,Unknown,RESIDENTIAL,103.901113,1.391732,291.796042
kml_87356,Unknown,RESIDENTIAL,103.900990,1.392130,310.082290
kml_87357,Unknown,RESIDENTIAL,103.903348,1.391567,43.923117
kml_87358,Unknown,RESIDENTIAL,103.903285,1.390852,100.903147
kml_87359,Unknown,RESIDENTIAL,103.903565,1.392520,99.641207
kml_87360,Unknown,RESIDENTIAL,103.902981,1.391120,101.894157
kml_87361,Unknown,RESIDENTIAL,103.900594,1.391937,350.798276
kml_87364,Unknown,RESIDENTIAL,103.902957,1.391628,86.668436
kml_87365,Unknown,RESIDENTIAL,103.903013,1.391905,85.618551
kml_87366,Unknown,RESIDENTIAL,103.900966,1.392529,323.448928
kml_87367,Unknown,RESIDENTIAL,103.903011,1.392430,119.190082
kml_87368,Unknown,RESIDENTIAL,103.900803,1.391441,326.762426
kml_87369,Unknown,RESIDENTIAL,103.900775,1.392723,350.539505
kml_87370,Unknown,RESIDENTIAL,103.903674,1.391276,41.112462
kml_87371,Unknown,RESIDENTIAL,103.903085,1.392548,124.233670
kml_87373,Unknown,RESIDENTIAL,103.912981,1.397099,1193.509413
kml_87374,Unknown,RESIDENTIAL,103.903029,1.392309,108.245628
kml_87375,Unknown,RESIDENTIAL,103.900628,1.391419,346.352341
kml_87376,Unknown,RESIDENTIAL,103.900879,1.392931,348.523904
kml_87377,Unknown,RESIDENTIAL,103.902987,1.392376,116.812610
kml_87378,Unknown,RESIDENTIAL,103.903023,1.392158,97.961511
kml_87379,Unknown,RESIDENTIAL,103.905525,1.404012,780.753813
kml_87380,Unknown,RESIDENTIAL,103.909989,1.396300,866.965073
kml_87381,Unknown,RESIDENTIAL,103.905802,1.398833,832.189219
kml_87384,Unknown,RESIDENTIAL,103.892624,1.302731,494.782900
kml_87385,Unknown,RESIDENTIAL,103.894798,1.302916,414.283491
kml_87386,Unknown,RESIDENTIAL,103.894648,1.302903,424.796820
kml_87387,Unknown,RESIDENTIAL,103.895218,1.302952,387.427709
kml_87388,Unknown,RESIDENTIAL,103.894651,1.303031,434.795938
kml_87389,Unknown,RESIDENTIAL,103.811574,1.264371,473.149940
kml_87392,Unknown,RESIDENTIAL,103.749413,1.371541,296.844459
kml_87393,Unknown,RESIDENTIAL,103.749410,1.374898,407.189491
kml_87394,Unknown,RESIDENTIAL,103.834806,1.241186,3690.777443
kml_87395,Unknown,RESIDENTIAL,103.834929,1.241322,3683.881397
kml_87396,Unknown,RESIDENTIAL,103.834707,1.241068,3697.351710
kml_87398,Unknown,RESIDENTIAL,103.958930,1.342531,254.994671
kml_87399,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853580,1.324920,886.428362
kml_87400,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853510,1.324835,887.703924
kml_87401,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853428,1.324695,892.690535
kml_87402,Unknown,RESIDENTIAL,103.853735,1.324397,940.210375
kml_87403,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853439,1.324749,889.168995
kml_87404,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853475,1.324792,888.413384
kml_87405,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853393,1.324653,893.512271
kml_87406,Unknown,RESIDENTIAL,103.853721,1.324312,946.099012
kml_87407,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853323,1.324568,895.284877
kml_87408,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853288,1.324526,896.229641
kml_87409,Unknown,RESIDENTIAL,103.853680,1.324346,940.228309
kml_87410,Unknown,RESIDENTIAL,103.853584,1.324330,934.357393
kml_87411,Unknown,RESIDENTIAL,103.853543,1.324364,928.524823
kml_87412,Unknown,RESIDENTIAL,103.853502,1.324398,922.673601
kml_87413,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853358,1.324611,894.378047
kml_87414,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853243,1.324474,897.189371
kml_87416,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853035,1.324232,903.107875
kml_87417,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.852800,1.323905,916.097173
kml_87418,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.852728,1.323855,915.943531
kml_87427,Unknown,RESIDENTIAL,103.877818,1.399130,372.817932
kml_87431,Unknown,RESIDENTIAL,103.892057,1.307899,325.896214
kml_87437,Unknown,RESIDENTIAL,103.933467,1.354609,1192.322272
kml_87442,Unknown,RESIDENTIAL,103.946785,1.352137,804.685110
kml_87446,Unknown,RESIDENTIAL,103.903403,1.391625,37.016335
kml_87447,Unknown,RESIDENTIAL,103.900822,1.392310,332.373549
kml_87448,Unknown,RESIDENTIAL,103.900867,1.392789,343.578754
kml_87449,Unknown,RESIDENTIAL,103.902970,1.391971,92.763519
kml_87450,Unknown,RESIDENTIAL,103.900948,1.391652,309.956571
kml_87451,Unknown,RESIDENTIAL,103.903633,1.391580,13.326842
kml_87453,Unknown,RESIDENTIAL,103.903055,1.392485,120.693939
kml_87454,Unknown,RESIDENTIAL,103.904962,1.392570,171.096026
kml_87455,Unknown,RESIDENTIAL,103.903377,1.391777,42.784078
kml_87456,Unknown,RESIDENTIAL,103.900479,1.391397,363.105971
kml_87457,Unknown,RESIDENTIAL,103.900639,1.392721,364.615855
kml_87458,Unknown,RESIDENTIAL,103.900572,1.391394,352.834434
kml_87460,Unknown,RESIDENTIAL,103.903020,1.392093,94.140618
kml_87462,Unknown,RESIDENTIAL,103.900929,1.393140,353.811815
kml_87465,Unknown,RESIDENTIAL,103.905522,1.402759,919.453042
kml_87468,Unknown,RESIDENTIAL,103.958701,1.343125,224.739603
kml_87470,Unknown,RESIDENTIAL,103.959138,1.342646,231.381090
kml_87471,Unknown,RESIDENTIAL,103.959269,1.342629,225.289591
kml_87472,Unknown,RESIDENTIAL,103.958999,1.342470,256.197614
kml_87473,Unknown,RESIDENTIAL,103.959083,1.342480,250.179873
kml_87474,Unknown,RESIDENTIAL,103.958162,1.341404,257.349807
kml_87475,Unknown,RESIDENTIAL,103.957597,1.339834,109.318698
kml_87480,Unknown,RESIDENTIAL,103.895720,1.303899,450.877945
kml_87481,Unknown,RESIDENTIAL,103.895866,1.303910,445.832271
kml_87482,Unknown,RESIDENTIAL,103.895881,1.304540,511.188481
